Time (s),Glucose (mM),ATP (mM),G6P (mM),ADP (mM),Hexokinase (firings)
1.320000,4998.680202,2998.680202,101.319798,101.319798,440
1.323000,4998.677203,2998.677203,101.322797,101.322797,441
1.326000,4998.674203,2998.674203,101.325797,101.325797,442
1.329000,4998.671204,2998.671204,101.328796,101.328796,443
1.332000,4998.668204,2998.668204,101.331796,101.331796,444
1.335000,4998.665205,2998.665205,101.334795,101.334795,445
1.338000,4998.662205,2998.662205,101.337795,101.337795,446
1.341000,4998.659206,2998.659206,101.340794,101.340794,447
1.344000,4998.656206,2998.656206,101.343794,101.343794,448
1.347000,4998.653207,2998.653207,101.346793,101.346793,449
1.350000,4998.650207,2998.650207,101.349793,101.349793,450
1.353000,4998.647207,2998.647207,101.352793,101.352793,451
1.356000,4998.644208,2998.644208,101.355792,101.355792,452
1.359000,4998.641208,2998.641208,101.358792,101.358792,453
1.362000,4998.638209,2998.638209,101.361791,101.361791,454
1.365000,4998.635209,2998.635209,101.364791,101.364791,455
1.368000,4998.632210,2998.632210,101.367790,101.367790,456
1.371000,4998.629210,2998.629210,101.370790,101.370790,457
1.374000,4998.626211,2998.626211,101.373789,101.373789,458
1.377000,4998.623211,2998.623211,101.376789,101.376789,459
1.380000,4998.620212,2998.620212,101.379788,101.379788,460
1.383000,4998.617212,2998.617212,101.382788,101.382788,461
1.386000,4998.614213,2998.614213,101.385787,101.385787,462
1.389000,4998.611213,2998.611213,101.388787,101.388787,463
1.392000,4998.608213,2998.608213,101.391787,101.391787,464
1.395000,4998.605214,2998.605214,101.394786,101.394786,465
1.398000,4998.602214,2998.602214,101.397786,101.397786,466
1.401000,4998.599215,2998.599215,101.400785,101.400785,467
